sigmoid,1,1,0.01,1,0.28816989064216614
sigmoid,1,1,0.01,41,0.4153806269168854
sigmoid,1,1,0.01,81,0.22241556644439697
sigmoid,1,1,0.01,121,0.9135682582855225
sigmoid,1,1,0.31,1,0.15545755624771118
sigmoid,1,1,0.31,41,0.10031667351722717
sigmoid,1,1,0.31,81,0.9204036593437195
sigmoid,1,1,0.31,121,0.5743707418441772
sigmoid,1,1,0.61,1,0.12681283056735992
sigmoid,1,1,0.61,41,0.06278038024902344
sigmoid,1,1,0.61,81,0.04898238182067871
sigmoid,1,1,0.61,121,0.03462505340576172
sigmoid,1,1,0.9099999999999999,1,0.04088863730430603
sigmoid,1,1,0.9099999999999999,41,0.02111417055130005
sigmoid,1,1,0.9099999999999999,81,0.11194591224193573
sigmoid,1,1,0.9099999999999999,121,0.42909669876098633
sigmoid,1,101,0.01,1,0.33446502685546875
sigmoid,1,101,0.01,41,0.17656227946281433
sigmoid,1,101,0.01,81,0.026696860790252686
sigmoid,1,101,0.01,121,0.008851289749145508
sigmoid,1,101,0.31,1,0.06698581576347351
sigmoid,1,101,0.31,41,0.001414865255355835
sigmoid,1,101,0.31,81,0.1291547417640686
sigmoid,1,101,0.31,121,0.0042792558670043945
sigmoid,1,101,0.61,1,0.056914955377578735
sigmoid,1,101,0.61,41,0.010281860828399658
sigmoid,1,101,0.61,81,0.024806253612041473
sigmoid,1,101,0.61,121,0.011486843228340149
sigmoid,1,101,0.9099999999999999,1,0.06566524505615234
sigmoid,1,101,0.9099999999999999,41,0.016289569437503815
sigmoid,1,101,0.9099999999999999,81,0.01891797035932541
sigmoid,1,101,0.9099999999999999,121,0.0014207437634468079
sigmoid,1,201,0.01,1,0.02012568712234497
sigmoid,1,201,0.01,41,0.02043849229812622
sigmoid,1,201,0.01,81,0.05196380615234375
sigmoid,1,201,0.01,121,0.035932064056396484
sigmoid,1,201,0.31,1,0.015569508075714111
sigmoid,1,201,0.31,41,0.01677069067955017
sigmoid,1,201,0.31,81,0.008021950721740723
sigmoid,1,201,0.31,121,0.001344054937362671
sigmoid,1,201,0.61,1,0.037515997886657715
sigmoid,1,201,0.61,41,0.0020564794540405273
sigmoid,1,201,0.61,81,0.0035648196935653687
sigmoid,1,201,0.61,121,0.02779899351298809
sigmoid,1,201,0.9099999999999999,1,0.44862252473831177
